"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","Riotime","strptime","day","hour","statusSource_new","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"RT @DPhiEIHQ: Us right now after watching #TeamUSA #RhythmicGymnastics compete. So proud! #GoingForPureGold #dphie100 https://t.co/NRtnvt",FALSE,0,NA,2016-08-08 13:45:03,FALSE,NA,"762645803068456960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","twinter72",11,TRUE,FALSE,NA,NA,2016-08-08 08:45:03,2016-08-08 08:45:03,8,8,"Twitter for iPhone",0,1,0,0,1,0,0,1,0,1
"Collective prayers for #IbtihajMuhammad who will be competing shortly. May Allah bless her with the gold, ameen! #TeamUSA ",FALSE,0,NA,2016-08-08 13:38:12,FALSE,NA,"762644079226281985",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Lateefah77",0,FALSE,FALSE,NA,NA,2016-08-08 08:38:12,2016-08-08 08:38:12,8,8,"Facebook",0,2,0,0,1,0,0,1,0,2
"RT @PHLBizJournal: 5 things to know &amp; another local link for Carli Lloyd #Olympics #TeamUSA https://t.co/9PQaR6GSeL via @PHLBizDPoncet",FALSE,0,NA,2016-08-08 13:33:09,FALSE,NA,"762642808691945472",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","FLPBusiness",5,TRUE,FALSE,NA,NA,2016-08-08 08:33:09,2016-08-08 08:33:09,8,8,"TweetDeck",0,0,0,0,0,0,0,0,0,0
"USA doing well!! Congrats to All! #Rio2016 #TeamUSA",FALSE,0,NA,2016-08-08 13:31:41,FALSE,NA,"762642437697314816",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MonicaGardner2",1,FALSE,FALSE,NA,NA,2016-08-08 08:31:41,2016-08-08 08:31:41,8,8,"Twitter for iPhone",0,0,0,0,0,0,0,0,0,0
"Goal!!! #TeamUSA @USAFieldHockey https://t.co/XeCda9G6UF",FALSE,0,NA,2016-08-08 13:29:33,FALSE,NA,"762641903200395264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","carolinebrant",0,FALSE,FALSE,NA,NA,2016-08-08 08:29:33,2016-08-08 08:29:33,8,8,"Twitter for iPhone",0,0,0,0,0,0,0,0,0,0
"RT @PHLBizJournal: 5 things to know &amp; another local link for Carli Lloyd #Olympics #TeamUSA https://t.co/9PQaR6GSeL via @PHLBizDPoncet",FALSE,0,NA,2016-08-08 13:25:17,FALSE,NA,"762640828900765698",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","JesseABarnes",5,TRUE,FALSE,NA,NA,2016-08-08 08:25:17,2016-08-08 08:25:17,8,8,"RoundTeam",0,0,0,0,0,0,0,0,0,0
"RT @Radio1045: Seeing #TeamUSA athletes showcased with @Weezer's ""I Love The USA"" is the best! https://t.co/Aofg01ot1e https://t.co/8rtqnhY",FALSE,0,NA,2016-08-08 13:23:54,FALSE,NA,"762640482153345024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KatSholl",3,TRUE,FALSE,NA,NA,2016-08-08 08:23:54,2016-08-08 08:23:54,8,8,"Twitter for iPhone",0,0,0,0,1,0,0,0,0,2
"RT @PHLBizJournal: 5 things to know &amp; another local link for Carli Lloyd #Olympics #TeamUSA https://t.co/9PQaR6GSeL via @PHLBizDPoncet",FALSE,0,NA,2016-08-08 13:23:36,FALSE,NA,"762640406244888576",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","HarkeetChadha",5,TRUE,FALSE,NA,NA,2016-08-08 08:23:36,2016-08-08 08:23:36,8,8,"RoundTeam",0,0,0,0,0,0,0,0,0,0
"RT @TheRickyDavila: And @MichaelPhelps proves once again why he's the greatest Olympian of all time. #MichaelPhelps #TeamUSA #GoForGold ht",FALSE,0,NA,2016-08-08 13:21:07,FALSE,NA,"762639780790218752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","joanne5g",23,TRUE,FALSE,NA,NA,2016-08-08 08:21:07,2016-08-08 08:21:07,8,8,"Twitter for iPhone",0,1,0,0,0,0,0,0,0,0
"Good luck to #TeamUSA and all of the athletes competing in #Olympics #Rio2016! https://t.co/Cg04HrDFaM",FALSE,0,NA,2016-08-08 13:14:41,FALSE,NA,"762638161826623488",NA,"<a href=""http://hearsaysocial.com"" rel=""nofollow"">Hearsay Social</a>","KIG_Janney",0,FALSE,FALSE,NA,NA,2016-08-08 08:14:41,2016-08-08 08:14:41,8,8,"Hearsay Social",0,2,0,0,2,0,2,1,0,2
